Date	logret
2/16/1990	-0.015374862
2/20/1990	0.003895044
2/21/1990	-0.003895044
2/22/1990	0
2/23/1990	0.007755465
2/26/1990	0
2/27/1990	0.011379546
2/28/1990	0.003727873
3/1/1990	0
3/2/1990	-0.01128101
3/5/1990	0.01128101
3/6/1990	-0.007488021
3/7/1990	0
3/8/1990	0.003760149
3/9/1990	-0.003760149
3/12/1990	-0.003792989
3/13/1990	0
3/14/1990	0.003792989
3/15/1990	0.02208753
3/16/1990	0.014124643
3/19/1990	-0.007004902
3/20/1990	-0.003545281
3/21/1990	-0.00357446
3/22/1990	0.00357446
3/23/1990	0
3/26/1990	0.003545281
3/27/1990	-0.003545281
3/28/1990	-0.007178585
3/29/1990	0
3/30/1990	0
4/2/1990	0.003604124
4/3/1990	0.00357446
4/4/1990	-0.00357446
4/5/1990	-0.007238409
4/6/1990	0
4/9/1990	0.007238409
4/10/1990	0.007119741
4/11/1990	-0.003545281
4/12/1990	0
4/16/1990	0
4/17/1990	-0.014477823
4/18/1990	-0.007424018
4/19/1990	-0.003760149
4/20/1990	-0.007619397
4/23/1990	-0.003860421
4/24/1990	0.007686829
4/25/1990	0.003792989
4/26/1990	-0.007619397
4/27/1990	0
4/30/1990	0.003826408
5/1/1990	0.007553138
5/2/1990	0.007424018
5/3/1990	0.010903363
5/4/1990	0.010636315
5/7/1990	-0.003516574
5/8/1990	0.003516574
5/9/1990	0.003488328
5/10/1990	0.013679697
5/11/1990	-0.003379741
5/14/1990	0
5/15/1990	0
5/16/1990	0.003379741
5/17/1990	0.003353642
5/18/1990	0.003327943
5/21/1990	0.003302636
5/22/1990	0.019305155
5/23/1990	0.003135714
5/24/1990	-0.009475892
5/25/1990	0.012589127
5/29/1990	-0.009407469
5/30/1990	0.006294233
5/31/1990	-0.009475892
6/1/1990	0.009475892
6/4/1990	-0.012681032
6/5/1990	0.006386799
6/6/1990	-0.006386799
6/7/1990	-0.006482128
6/8/1990	0.009687267
6/11/1990	0.003181659
6/12/1990	0.003158519
6/13/1990	0
6/14/1990	0.003135714
6/15/1990	-0.012681032
6/18/1990	0
6/19/1990	0.00320514
6/20/1990	-0.00320514
6/21/1990	-0.009759837
6/22/1990	-0.003302636
6/25/1990	0
6/26/1990	0.003302636
6/27/1990	0
6/28/1990	0.009759837
6/29/1990	0.00320514
7/2/1990	0
7/3/1990	-0.00320514
7/5/1990	-0.00322897
7/6/1990	0
7/9/1990	-0.003253157
7/10/1990	0.016027445
7/11/1990	0.006248949
7/12/1990	0.012234456
7/13/1990	0.008954843
7/16/1990	-0.005949333
7/17/1990	-0.018353202
7/18/1990	-0.006294233
7/19/1990	-0.022777215
7/20/1990	-0.006733383
7/23/1990	-0.010299957
7/24/1990	0
7/25/1990	0.003460532
7/26/1990	-0.003460532
7/27/1990	0
7/30/1990	0.010299957
7/31/1990	-0.020850139
8/1/1990	-0.021901841
8/2/1990	-0.011379546
8/3/1990	-0.023694666
8/6/1990	0.00804272
8/7/1990	-0.00804272
8/8/1990	0.023694666
8/9/1990	-0.011685758
8/10/1990	0
8/13/1990	-0.01608682
8/14/1990	0
8/15/1990	-0.012468641
8/16/1990	-0.021611149
8/17/1990	-0.01350247
8/20/1990	-0.009240657
8/21/1990	-0.004695121
8/22/1990	0.013935778
8/23/1990	0.035113619
8/24/1990	0.004196115
8/27/1990	-0.008433168
8/28/1990	-0.008600172
8/29/1990	-0.022276395
8/30/1990	0.004547628
8/31/1990	0
9/4/1990	-0.013788284
9/5/1990	-0.014240439
9/6/1990	0.004798883
9/7/1990	0.009441556
9/10/1990	-0.004695121
9/11/1990	0.009340026
9/12/1990	-0.004644905
9/13/1990	0.004644905
9/14/1990	0
9/17/1990	0.009143379
9/18/1990	0.004500501
9/19/1990	-0.009048129
9/20/1990	-0.004595752
9/21/1990	-0.009340026
9/24/1990	0.022983907
9/25/1990	-0.013643881
9/26/1990	-0.009340026
9/27/1990	0.013935778
9/28/1990	0.01350247
10/1/1990	0.004409119
10/2/1990	-0.017911589
10/3/1990	-0.009240657
10/4/1990	0.004644905
10/5/1990	0
10/8/1990	-0.033608601
10/9/1990	-0.010100327
10/10/1990	-0.00513964
10/11/1990	0.010219165
10/12/1990	0.019744058
10/15/1990	-0.004852503
10/16/1990	0.014397821
10/17/1990	0.027438248
10/18/1990	0.008773924
10/19/1990	0.004321374
10/22/1990	0.004278798
10/23/1990	-0.008600172
