12/31/1987,EQ-DE,EQ-EM,BO-CO,NAREIT,Gold,Risk Free
5/29/1998,-0.013691212,-0.140120862,0.013400301,-0.008480303,-0.022674083,0.004
6/30/1998,0.022552461,-0.106936541,0.004430425,-0.006232684,0.001893681,0.0041
7/31/1998,-0.002759416,0.028176727,0.006779694,-0.065557768,-0.029916643,0.004
8/31/1998,-0.134518781,-0.292854747,0.005921009,-0.10346874,0.017147648,0.0043
9/30/1998,0.016328173,0.06057958,0.010425883,0.063473383,0.024034227,0.0046
10/30/1998,0.089054623,0.104100129,-0.009388959,-0.027232853,-0.006102324,0.0032
11/30/1998,0.058245791,0.082181363,0.024785861,0.018203161,-0.008304329,0.0031
12/31/1998,0.047676748,-0.018241344,0.002757707,-0.030124248,-0.01563859,0.0038
1/29/1999,0.020776519,-0.01692126,-0.007993631,-0.019882667,0.000731408,0.0035
2/26/1999,-0.027701296,0.009019645,-0.002212598,-0.026851002,-0.004756351,0.0035
3/31/1999,0.040494968,0.128740748,0.01027094,-0.005020433,-0.011691703,0.0043
4/30/1999,0.038324442,0.122242304,-0.012685845,0.097098613,-0.021850716,0.0037
5/31/1999,-0.037594369,-0.00887759,-0.017354169,0.022004978,-0.054725632,0.0034
6/30/1999,0.045545592,0.111401176,0.008974849,-0.013762994,-0.020029919,0.004
7/30/1999,-0.004069313,-0.028679968,-0.00912797,-0.036701297,0.002395005,0.0038
8/31/1999,-0.002864771,0.008349505,0.004426849,-0.021827311,0.031361701,0.0039
9/30/1999,-0.010764827,-0.03510274,-0.00245468,-0.037216662,0.173662134,0.0039
10/29/1999,0.050902578,0.020415835,0.014582486,-0.025801502,-0.056433479,0.0039
11/30/1999,0.027115201,0.089323975,-0.003015688,-0.021018132,-0.034502793,0.0036
12/31/1999,0.079966557,0.125885097,-0.008752801,0.030017509,0.004403808,0.0044
1/31/2000,-0.058160231,0.004031302,0.009877301,0.003396805,0.054690346,0.0041
2/29/2000,0.001746316,0.012918377,0.005948261,-0.013050892,-0.044937513,0.0043
3/31/2000,0.068145725,0.003341095,0.005919068,0.032418239,-0.023376187,0.0047
4/28/2000,-0.043179244,-0.096204676,-0.023355376,0.065864012,-0.016120199,0.0046
